HP-UX OSWbb v6.0.1

  device    bps    sps   msps

zzz ***Mon Nov 11 20:00:40 EAT 2013

   disk3    166   16.8    1.0
   disk5    166   16.8    1.0
  disk19   8111    9.9    1.0
  disk20   6068   36.6    1.0
  disk21   8681   45.5    1.0
  disk24   4059    7.9    1.0
  disk25   6610   12.9    1.0
 c12t0d5      0    0.0    1.0
 c12t0d6      0    0.0    1.0
  disk34      0    0.0    1.0
  disk35      0    0.0    1.0
 c14t0d5      0    0.0    1.0
 c14t0d6      0    0.0    1.0
 c11t0d5      0    0.0    1.0
 c11t0d6      0    0.0    1.0
 c13t0d5      0    0.0    1.0
 c13t0d6      0    0.0    1.0

zzz ***Mon Nov 11 20:01:40 EAT 2013

   disk3    166   16.8    1.0
   disk5    166   16.8    1.0
  disk19   4055    5.0    1.0
  disk20   8571   39.6    1.0
  disk21   7731   44.6    1.0
  disk24   8115   12.9    1.0
  disk25   7068   11.9    1.0
 c12t0d5      0    0.0    1.0
 c12t0d6      0    0.0    1.0
  disk34      0    0.0    1.0
  disk35      0    0.0    1.0
 c14t0d5      0    0.0    1.0
 c14t0d6      0    0.0    1.0
 c11t0d5      0    0.0    1.0
 c11t0d6      0    0.0    1.0
 c13t0d5      0    0.0    1.0
 c13t0d6      0    0.0    1.0

zzz ***Mon Nov 11 20:02:41 EAT 2013

   disk3    190   19.6    1.0
   disk5    188   18.6    1.0
  disk19   5961    6.9    1.0
  disk20   8519   41.2    1.0
  disk21   5741   48.0    1.0
  disk24   8035   12.7    1.0
  disk25   8081   14.7    1.0
 c12t0d5      0    0.0    1.0
 c12t0d6      0    0.0    1.0
  disk34      0    0.0    1.0
  disk35      0    0.0    1.0
 c14t0d5      0    0.0    1.0
 c14t0d6      0    0.0    1.0
 c11t0d5      0    0.0    1.0
 c11t0d6      0    0.0    1.0
 c13t0d5      0    0.0    1.0
 c13t0d6      0    0.0    1.0

zzz ***Mon Nov 11 20:03:42 EAT 2013

   disk3    192   20.8    1.0
   disk5    190   19.8    1.0
  disk19   6147    7.9    1.0
  disk20   7304   25.7    1.0
  disk21   4214   14.9    1.0
  disk24   8115   12.9    1.0
  disk25   8178   18.8    1.0
 c12t0d5      0    0.0    1.0
 c12t0d6      0    0.0    1.0
  disk34      0    0.0    1.0
  disk35      0    0.0    1.0
 c14t0d5      0    0.0    1.0
 c14t0d6      0    0.0    1.0
 c11t0d5      0    0.0    1.0
 c11t0d6      0    0.0    1.0
 c13t0d5      0    0.0    1.0
 c13t0d6      0    0.0    1.0

zzz ***Mon Nov 11 20:04:42 EAT 2013

   disk3     23    4.0    1.0
   disk5     23    4.0    1.0
  disk19   8111    9.9    1.0
  disk20   5086   11.9    1.0
  disk21   8238   17.8    1.0
  disk24   8112   10.9    1.0
  disk25   5228   12.9    1.0
 c12t0d5      0    0.0    1.0
 c12t0d6      0    0.0    1.0
  disk34      0    0.0    1.0
  disk35      0    0.0    1.0
 c14t0d5      0    0.0    1.0
 c14t0d6      0    0.0    1.0
 c11t0d5      0    0.0    1.0
 c11t0d6      0    0.0    1.0
 c13t0d5      0    0.0    1.0
 c13t0d6      0    0.0    1.0

zzz ***Mon Nov 11 20:05:43 EAT 2013

   disk3     18    3.0    1.0
   disk5     16    2.0    1.0
  disk19      0    0.0    1.0
  disk20     33    3.0    1.0
  disk21      0    0.0    1.0
  disk24      1    1.0    1.0
  disk25     48    3.0    1.0
 c12t0d5      0    0.0    1.0
 c12t0d6      0    0.0    1.0
  disk34      0    0.0    1.0
  disk35      0    0.0    1.0
 c14t0d5      0    0.0    1.0
 c14t0d6      0    0.0    1.0
 c11t0d5      0    0.0    1.0
 c11t0d6      0    0.0    1.0
 c13t0d5      0    0.0    1.0
 c13t0d6      0    0.0    1.0

zzz ***Mon Nov 11 20:06:44 EAT 2013

   disk3    241   36.6    1.0
   disk5    229   30.7    1.0
  disk19   9758  163.4    1.0
  disk20   8136  164.4    1.0
  disk21  12040  224.8    1.0
  disk24   3580  111.9    1.0
  disk25   9401  353.5    1.0
 c12t0d5      0    0.0    1.0
 c12t0d6      0    0.0    1.0
  disk34      0    0.0    1.0
  disk35      0    0.0    1.0
 c14t0d5      0    0.0    1.0
 c14t0d6      0    0.0    1.0
 c11t0d5      0    0.0    1.0
 c11t0d6      0    0.0    1.0
 c13t0d5      0    0.0    1.0
 c13t0d6      0    0.0    1.0

zzz ***Mon Nov 11 20:07:45 EAT 2013

   disk3    129   20.8    1.0
   disk5    123   17.8    1.0
  disk19   7319  201.0    1.0
  disk20   6341  358.4    1.0
  disk21   8269  215.8    1.0
  disk24   3462  127.7    1.0
  disk25   4230  129.7    1.0
 c12t0d5      0    0.0    1.0
 c12t0d6      0    0.0    1.0
  disk34      0    0.0    1.0
  disk35      0    0.0    1.0
 c14t0d5      0    0.0    1.0
 c14t0d6      0    0.0    1.0
 c11t0d5      0    0.0    1.0
 c11t0d6      0    0.0    1.0
 c13t0d5      0    0.0    1.0
 c13t0d6      0    0.0    1.0

zzz ***Mon Nov 11 20:08:45 EAT 2013

   disk3    229   33.7    1.0
   disk5    189   22.8    1.0
  disk19   9093  240.6    1.0
  disk20   5815  163.4    1.0
  disk21  11565  457.4    1.0
  disk24   6337  179.2    1.0
  disk25   7224  201.0    1.0
 c12t0d5      0    0.0    1.0
 c12t0d6      0    0.0    1.0
  disk34      0    0.0    1.0
  disk35      0    0.0    1.0
 c14t0d5      0    0.0    1.0
 c14t0d6      0    0.0    1.0
 c11t0d5      0    0.0    1.0
 c11t0d6      0    0.0    1.0
 c13t0d5      0    0.0    1.0
 c13t0d6      0    0.0    1.0

zzz ***Mon Nov 11 20:09:46 EAT 2013

   disk3    318   46.0    1.0
   disk5    316   45.0    1.0
  disk19  10080  267.0    1.0
  disk20   6641  184.0    1.0
  disk21  10080  257.0    1.0
  disk24   6048  164.0    1.0
  disk25  11046  457.0    1.0
 c12t0d5      0    0.0    1.0
 c12t0d6      0    0.0    1.0
  disk34      0    0.0    1.0
  disk35      0    0.0    1.0
 c14t0d5      0    0.0    1.0
 c14t0d6      0    0.0    1.0
 c11t0d5      0    0.0    1.0
 c11t0d6      0    0.0    1.0
 c13t0d5      0    0.0    1.0
 c13t0d6      0    0.0    1.0

zzz ***Mon Nov 11 20:10:47 EAT 2013

   disk3    853  117.6    1.0
   disk5    839  110.8    1.0
  disk19   7059  176.5    1.0
  disk20   4377  134.3    1.0
  disk21   4298  126.5    1.0
  disk24   5296  220.6    1.0
  disk25   4847  139.2    1.0
 c12t0d5      0    0.0    1.0
 c12t0d6      0    0.0    1.0
  disk34      0    0.0    1.0
  disk35      0    0.0    1.0
 c14t0d5      0    0.0    1.0
 c14t0d6      0    0.0    1.0
 c11t0d5      0    0.0    1.0
 c11t0d6      0    0.0    1.0
 c13t0d5      0    0.0    1.0
 c13t0d6      0    0.0    1.0

zzz ***Mon Nov 11 20:11:47 EAT 2013

   disk3   4620  177.0    1.0
   disk5   4987  153.0    1.0
  disk19   9600  254.0    1.0
  disk20   8177  224.0    1.0
  disk21   8768  226.0    1.0
  disk24   9439  381.0    1.0
  disk25   8192  222.0    1.0
 c12t0d5      0    0.0    1.0
 c12t0d6      0    0.0    1.0
  disk34      0    0.0    1.0
  disk35      0    0.0    1.0
 c14t0d5      0    0.0    1.0
 c14t0d6      0    0.0    1.0
 c11t0d5      0    0.0    1.0
 c11t0d6      0    0.0    1.0
 c13t0d5      0    0.0    1.0
 c13t0d6      0    0.0    1.0

zzz ***Mon Nov 11 20:12:48 EAT 2013

   disk3    323   39.2    1.0
   disk5    315   35.3    1.0
  disk19   2478   73.5    1.0
  disk20   2119   79.4    1.0
  disk21   3059  101.0    1.0
  disk24   2843  102.0    1.0
  disk25   3137   79.4    1.0
 c12t0d5      0    0.0    1.0
 c12t0d6      0    0.0    1.0
  disk34      0    0.0    1.0
  disk35      0    0.0    1.0
 c14t0d5      0    0.0    1.0
 c14t0d6      0    0.0    1.0
 c11t0d5      0    0.0    1.0
 c11t0d6      0    0.0    1.0
 c13t0d5      0    0.0    1.0
 c13t0d6      0    0.0    1.0

zzz ***Mon Nov 11 20:13:49 EAT 2013

   disk3     75   11.9    1.0
   disk5     71    9.9    1.0
  disk19   9537  250.5    1.0
  disk20   5672  158.4    1.0
  disk21   6907  191.1    1.0
  disk24   6165  202.0    1.0
  disk25   9066  323.8    1.0
 c12t0d5      0    0.0    1.0
 c12t0d6      0    0.0    1.0
  disk34      0    0.0    1.0
  disk35      0    0.0    1.0
 c14t0d5      0    0.0    1.0
 c14t0d6      0    0.0    1.0
 c11t0d5      0    0.0    1.0
 c11t0d6      0    0.0    1.0
 c13t0d5      0    0.0    1.0
 c13t0d6      0    0.0    1.0

zzz ***Mon Nov 11 20:14:50 EAT 2013

   disk3    835   94.1    1.0
   disk5   1170   71.3    1.0
  disk19   8630  298.0    1.0
  disk20   4782  159.4    1.0
  disk21   6210  178.2    1.0
  disk24   4363  156.4    1.0
  disk25   5941  174.3    1.0
 c12t0d5      0    0.0    1.0
 c12t0d6      0    0.0    1.0
  disk34      0    0.0    1.0
  disk35      0    0.0    1.0
 c14t0d5      0    0.0    1.0
 c14t0d6      0    0.0    1.0
 c11t0d5      0    0.0    1.0
 c11t0d6      0    0.0    1.0
 c13t0d5      0    0.0    1.0
 c13t0d6      0    0.0    1.0

zzz ***Mon Nov 11 20:15:50 EAT 2013

   disk3    536   60.4    1.0
   disk5    504   51.5    1.0
  disk19   7826  205.9    1.0
  disk20   5891  179.2    1.0
  disk21   6859  196.0    1.0
  disk24   5513  144.6    1.0
  disk25   8247  294.1    1.0
 c12t0d5      0    0.0    1.0
 c12t0d6      0    0.0    1.0
  disk34      0    0.0    1.0
  disk35      0    0.0    1.0
 c14t0d5      0    0.0    1.0
 c14t0d6      0    0.0    1.0
